VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,Missing,COUNT,NA,MIN,MAX,Definition,Visits,Formula,Variable Concept Name,Variable Concept Code,Variable OMOP ID,Domain,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Categorical Value Concept Name,Categorical Value Concept Code,Categorical Value OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID
N_A,exacerbation of heart failure,int,,1=yes|0=no,,11332,,0,1,,,,exacerbation of heart failure,omop:OMOP5166003,1340348,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
DosisfrequentieACE,Angiotensin-Converting Enzyme inhibitors: daily frequency,int,,1=once a day|2=twice a day|3=three times a day,9999,11332,,1,9999,,,,"""ACE inhibitors, plain""",atc:C09AA,21601784,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,na|1 time per day|2 times per day|3 times per day,na|loinc:LA13827-3|loinc:LA13840-6|loinc:LA13851-3,na|45885250|45883167|45883169,,,
DagdosisStatines,statin:total daily dosage,int,mg (miligram),,,11332,,0,9999,,,,hmg-coa reductase inhibitor,atc:C10AA,21601855,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,,,,milligram,ucum:mg,8576
Ischemiedetectie_dsestressecho,Dobutamine Stress Echocardiography (DSE) is performed for ischemia detection,str,,1=yes|0=no,,11332,,,,,,,stress echocardiography using dobutamine,snomed:703338002,45773079,procedure_occurrence,ischemia,snomed:52674009,4200991,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
RAS,Renin-angiotensin system (RAS):Medication administered,int,,1=yes|0=no,,11332,,0,1,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Geslacht,patient sex,str,,man=male|vrouw=female,,11332,,,,,,,Sex assigned at birth,loinc:76689-9,46235213,person,,,,male|female,loinc:LA2-8|loinc:LA3-6,45880669|45878463,,,
HFREFsystHF,heart failure with reduced ejection fraction (HFrEF) or Systolic Heart Failure,str,,1=yes|0=no,,11332,,,,,,,heart failure with reduced ejection fraction,snomed:703272007,45766164,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Patiëntnummer,Patient hospital number,int,,,,11332,,1,11332,,,,patient hospital number,snomed:184107009,4086934,person,,,,,,,,,
Select,Patient entered into trial: heart failure,int,,1=yes|0=no,,11332,,0,1,,,,patient entered into trial,snomed:185923000,4090379,observation,heart failure,loinc:LP269425-7,1177390,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Leeftijd,Age,int,Years,,,11332,,18,103,,,,age,snomed:397669002,4265453,measurement,,,,,,,year,ucum:a,9448
Gewichtkg,Body weight,int,kg,,,11332,,29,180,,,,body weight,loinc:29463-7,3025315,measurement,,,,,,,kilogram,ucum:kg,9529
Lengtecm,Body height,int,cm,,,11332,,126,205,,,,body height,loinc:BDYHGT,45876161,measurement,,,,,,,centimeter,ucum:cm,8582
HFpEF,heart failure with preserved ejection fraction (HFpEF),int,,1=yes|0=no,,11332,,0,1,,,,heart failure with normal ejection fraction,snomed:446221000,40486933,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
BMI,Body Mass Index,int,,,,11332,,14,61,,,kg/m2,body mass index (bmi) [ratio],loinc:39156-5,3038553,measurement,,,,,,,kilogram per square meter,ucum:kg/m2,9531
Hartfalenpoli,Patient entered into trial: heart failure,str,,1=yes|0=no,,11332,,,,,,,patient entered into trial,snomed:185923000,4090379,observation,heart failure,loinc:LP269425-7,1177390,yes|no|previous,loinc:LA33-6|loinc:LA32-8|snomed:9130008,45877994|45878245|4238439,,,
PulsPressure,Pulse pressure,int,mmHg,,,11332,,8,160,,,,arterial pulse pressure,snomed:87179004,4314539,measurement,pulse,snomed:8499008,4224504,,,,millimeter mercury column,ucum:mm[Hg],8876
BDsyst,Systolic blood pressure,int,mmHg,,,11332,,65,231,,,,systolic blood pressure,loinc:8480-6,3004249,measurement,,,,,,,millimeter mercury column,ucum:mm[Hg],8876
BDdiast,diastolic blood pressure,int,mmHg,,,11332,,30,148,,,,diastolic blood pressure,loinc:8462-4,3012888,measurement,,,,,,,millimeter mercury column,ucum:mm[Hg],8876
Oedeem,edema,str,,1=yes|0=no,,11332,,,,,,,edema,snomed:267038008,433595,observation,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Vulling,blood volume finding,str,,normo volemisch=a normal volume of blood in the body|hyper volemisch=fluid overload|hypo volemisch=volume depletion or volume contraction,,11332,,,,,,,blood volume,snomed:16086006,4053108,measurement,,,,normal blood volume|hypervolemia|hypovolemia,snomed:64826008|snomed:21639008|snomed:816082000,4276680|434004|37311319,,,
HFPEFdiasHF,heart failure with preserved ejection fraction (HFpEF) or Diastolic heart failure,str,,1=yes|0=no,,11332,,,,,,,heart failure with normal ejection fraction,snomed:446221000,40486933,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
HFrEF,heart failure with reduced ejection fraction,int,,1=yes|0=no,,11332,,0,1,,,,heart failure with reduced ejection fraction,snomed:703272007,45766164,condition_occurrence,,,,present|absent,snomed:52101004|snomed:2667000,4181412|4132135,,,
EFBegin,Ejection fraction in the beginning of a treatment,int,,,,11332,,5,80,,,,cardiac ejection fraction,snomed:70822001,4323433,measurement,baseline time,loinc:64103-5,40766819,,,,,,
EFNu,Ejection fraction during treatment,int,,,,11332,,5,80,,,,cardiac ejection fraction,snomed:70822001,4323433,measurement,follow-up,loinc:LA9177-2,45880098,,,,,,
