VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit OMOP ID,Visit Concept Name,Visit Concept Code
full_ID,patient identification number,STR,,,,1600,,,,,,,,snomed:184107009,Patient hospital number,4086934,,,,,,,Person,baseline,40766819,Baseline time,loinc:64103-5
Age_at_B0,age of patient at baseline,INT,years,,,1600,,,,,,,,loinc:30525-0,Age,3022304,,,,years,ucum:a,9448,Person,baseline,40766819,Baseline time,loinc:64103-5
sex,patient sex,INT,,0 = male | 1 = female,,1600,,,,,loinc:LA2-8|loinc:LA3-6,Male|Female,45880669|45878463,loinc:76689-9,Sex assigned at birth,46235213,,,,,,,Person,baseline,40766819,Baseline time,loinc:64103-5
HFpEF,heart failure with preserved ejection fraction,INT,,0 = no HFpEF | 1 = HFpEF,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:446221000,Heart failure with normal ejection fraction,40486933,,,,,,,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
T2DM,type 2 diabetes,INT,,0 = no T2DM | 1 = T2DM,,1600,,,,either taking antidiabetic medication or HbA1c levels above 6.5% ,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:446221000,Type 2 diabetes mellitus,201826,,,,,,,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
Height,height of patient,FLOAT,cm,,,1600,,,,,,,,loinc:8302-2,Body height,3036277,,,,centimeter,ucum:cm,8582,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
Weight,weight of patient,FLOAT,kg,,,1600,,,,,,,,loinc:29463-7,Body weight,3025315,,,,kilogram,ucum:kg,9529,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Waist,waist size,FLOAT,cm,,,1600,,,,,,,,snomed:140095002,Waist circumference,4172830,,,,centimeter,ucum:cm,8582,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Hip,hip size,FLOAT,cm,,,1600,,,,,,,,snomed:284472007,Hip circumference,4111665,,,,centimeter,ucum:cm,8582,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Sysstolic blood pressure,systolic blood pressure at baseline,INT,mmHg,,,1600,,,,,,,,loinc:8480-6,Systolic blood pressure,3004249,,,,millimeter mercury column,ucum:mm[Hg],8876,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Diastolic blood pressure,diastolic blood pressure at baseline,INT,mmHg,,,1600,,,,,,,,loinc:8462-4,Diastolic blood pressure,3012888,,,,millimeter mercury column,ucum:mm[Hg],8876,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Smoking,smoking status,STR,,No=never| Former Smoker=past smoker | Active Smoker=current smoker,,1600,,,,,loinc:LA18978-9|loinc:LA20356-4| loinc:LA15920-4,Never Smoker|Current Smoker| Former Smoker, 45879404| 36309332|45883458,snomed:1311000175101,Smoking assessment,761009,,,,,,,Measurement,baseline,40766819,Baseline time,loinc:64103-5
Alcohol consumption,alcohol consumption,STR,,No | Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:365967005,Alcohol intake - finding,432456,,,,,,,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
Other addictive behaviors,existence of other adictive behaviors,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:32709003,Addiction,4139144,,,,,,,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
Dsypnea (NYHA),New York Heart Association Functional Classification,INT,,0 = asymptomatic/no structural heart failure | 1 = I | 2 = II | 3 = III | 4 = IV,,1600,,,,,loinc:LA32-8|snomed:420300004|snomed:421704003|snomed:420913000|snomed:422293003,No|New York Heart Association Classification - Class I| New York Heart Association Classification - Class II| New York Heart Association Classification - Class III| New York Heart Association Classification - Class IV,45878245|4220607|4226789|4227345|4228881,snomed:420816009,new york heart association classification,4223299,,,,,,,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
Type 2 diabetes diagnosis - Year,Year of T2DM diagnosis,INT,year,,,1600,,,,,,,,snomed:44054006,Type 2 diabetes mellitus,201826,Date of diagnosis,LOINC:63931-0,40766651,years,ucum:a,9448,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
Microalbuminuria,History of microalbuminuria at baseline,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:312975006,Microalbuminuria,4195061,,,,,,,Observation,baseline,40766819,Baseline time,loinc:64103-5
Retinopathy,History of retinopathy at baseline,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:390834004,Nonproliferative retinopathy due to diabetes mellitus,376683,,,,,,,Observation,baseline,40766819,Baseline time,loinc:64103-5
Diabetic neuropathy,History of diabetic neuropathy at baseline,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:866003,Diabetic neuropathy,40636288,,,,,,,Observation,baseline,40766819,Baseline time,loinc:64103-5
Diabetic feet - History,History of diabetic feet in medical report,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:10995761000119100,History of diabetic foot ulcer,46269972,,,,,,,Observation,baseline,40766819,Baseline time,loinc:64103-5
HTN,History of Hypertension at baseline,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:38341003,Hypertensive disorder,316866,,,,,,,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
COPD,History of COPD at baseline,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:13645005,Chronic obstructive pulmonary disease,255573,,,,,,,Observation,baseline,40766819,Baseline time,loinc:64103-5
Sleep Apnea Syndrome - History,History of Sleep Apnea Syndrome at baseline,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:78275009,Obstructive sleep apnea syndrome,442588,,,,,,,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
ACEIs/ARBs,drug class: Angiotensin-converting enzyme inhibitors/Angiotensin receptor blockers,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,21601782,,,,,,,Condition_occurrence,baseline,40766819,Baseline time,loinc:64103-5
Beta-blockers,drug class: beta-receptor blockers,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C07A,BETA BLOCKING AGENTS,21601665,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Aldosterone Receptor Antagonists,drug class: Aldosterone Receptor Antagonists,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C03DA,Aldosterone antagonists,21601533,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Loop Diuretics,drug class: Loop Diuretics,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C03CA,"""Sulfonamides, plain""",21601517,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Thiazides,drug class: Thiazides,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C03BA,"""Sulfonamides, plain""",21601490,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Potassium Sparing Diuretics,drug class: Potassium Sparing Diuretics,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,21601532,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Fibrates,drug class: Fibrates,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C10AB,Fibrates,21601864,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Statins,drug class: Statins,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C10AA,HMG CoA reductase inhibitors,21601855,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Cholesterol Absorption Inhibitors,drug class: Cholesterol Absorption Inhibitors,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,rxnorm:341248,ezetimibe,1526475,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Other Lipid-lowering Agents,Other Lipid-lowering Agents,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:C10AX,Other lipid modifying agents,21601888,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Metformin,drug class: Metformin,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,rxnorm:6809,Metformin,1503297,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Sulfonamides,drug class: Sulfonamides,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10BC,Sulfonamides (heterocyclic),21600763,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Glinides,drug class: Glinides,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10BB,Sulfonylureas,21600749,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
DDP-4 Inhibitors,drug class: DDP-4 Inhibitors,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,21600783,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
GLP-1 Receptor Agonists,drug class: GLP-1 Receptor Agonists,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,1123618,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Alpha-glucosidase Inhibitors,drug class: Alpha-glucosidase Inhibitors,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10BF,Alpha glucosidase inhibitors,21600775,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
SGLT-2 Inhibitors,drug class: sodium-glucose cotransporter-2 inhibitors,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,1123627,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Glitazones,drug class: glitazones,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10BG,Thiazolidinediones,21600779,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
Basal Insulin,drug class: basal insulin,INT,,0 = No | 1 = Yes,,1600,,,,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,atc:A10AE,"""Insulins and analogues for injection, long-acting""",21600735,,,,,,,Drug_Exposure,baseline,40766819,Baseline time,loinc:64103-5
