source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,target_type,target_unit,target_data_type,transformation_rule
orthopnea,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea3,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea1_01,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea3_01,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea6_01,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea_01,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea1,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea6,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea12,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
orthopnea18,orthopnea,315361,315361,snomed:62744007,orthopnea,snomed:62744007,orthopnea,observation,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
