source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,target_type,target_unit,target_data_type,transformation_rule
hb18,rbc,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,continuous_variable,trillion per liter,float,Unit conversion required (RQ dependent)
hb,rbc,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,continuous_variable,trillion per liter,float,Unit conversion required (RQ dependent)
hb12,rbc,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,continuous_variable,trillion per liter,float,Unit conversion required (RQ dependent)
hb6,rbc,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,hemoglobin [mass/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,gram per deciliter,float,continuous_variable,trillion per liter,float,Unit conversion required (RQ dependent)
rvramean,sysstolic blood pressure,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpsyststand3,sysstolic blood pressure,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpsyststand6,sysstolic blood pressure,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpsyststand1,sysstolic blood pressure,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpsyst12,sysstolic blood pressure,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpsyst1,sysstolic blood pressure,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpsyst6,sysstolic blood pressure,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpsyst,sysstolic blood pressure,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
