source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,target_type,target_unit,target_data_type,transformation_rule
causeofheartfailure,jaar_datumhf,316139,316139,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,exact match,baseline time,baseline time,multi_class_variable,,int,qualitative_variable,,datetime,"This variable pair involves categorical variable (binary or multi-class) and  a qualitative variable (string/text-based). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
causeofheartfailure,oorzaakhf_onbekend,316139,316139,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,str,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
edemahistory_01,oedeem,433595,433595,snomed:267038008,edema,snomed:267038008,edema,observation,exact match,baseline time,baseline time,binary_class_variable,,str,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
edema_01,oedeem,433595,433595,snomed:267038008,edema,snomed:267038008,edema,observation,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
anémie,anemie,439777,439777,snomed:271737000,anemia,snomed:271737000,anemia,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,qualitative_variable,,str,"This variable pair involves categorical variable (binary or multi-class) and  a qualitative variable (string/text-based). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
anémie,comorbiditeit_anemie,439777,439777,snomed:271737000,anemia,snomed:271737000,anemia,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
anemia_01_bl,anemie,439777,439777,snomed:271737000,anemia,snomed:271737000,anemia,condition_occurrence,exact match,baseline time,baseline time,qualitative_variable,,str,qualitative_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
anemia_01_bl,comorbiditeit_anemie,439777,439777,snomed:271737000,anemia,snomed:271737000,anemia,condition_occurrence,exact match,baseline time,baseline time,qualitative_variable,,str,binary_class_variable,,str,"This variable pair involves a qualitative variable (string/text-based) and a categorical variable (binary or multi-class). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
obstruktiveschlafapnoe,comorbiditeit_osas,442588,442588,snomed:78275009,obstructive sleep apnea syndrome,snomed:78275009,obstructive sleep apnea syndrome,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
digadjbl,digoxineyn,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,str,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
digadjbl,digoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,multi_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
digadjbl,doseringdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,qualitative_variable,milligram,str,"This variable pair involves categorical variable (binary or multi-class) and  a qualitative variable (string/text-based). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
digadjbl,dosisfrequentiedigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
digadjbl,dagdosisdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
digadjbl,dosisdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
bldigoxin,digoxineyn,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
bldigoxin,digoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,multi_class_variable,,str,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
bldigoxin,doseringdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,qualitative_variable,milligram,str,"This variable pair involves categorical variable (binary or multi-class) and  a qualitative variable (string/text-based). Harmonization is conditionally possible if the qualitative variable contains a finite and consistently used set of values that can be reliably mapped to the categorical codes. Transformation requires: (1) value normalization (e.g., spelling, casing), and (2) manual or automated mapping to standardized categories. This process may incur minor information loss and should be justified based on the harmonization goal. Applicability is limited to cases where the qualitative variable represents discrete categories, not unstructured narrative text."
bldigoxin,dosisfrequentiedigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,int,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
bldigoxin,dagdosisdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
bldigoxin,dosisdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,continuous_variable,,float,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosedigoxinbl,digoxineyn,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,float,binary_class_variable,,str,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosedigoxinbl,digoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,float,multi_class_variable,,str,"For drug-related variables in harmonization, first examine any accompanying categorical context—such as therapy adjustments or descriptive qualifiers—because these details may not align neatly with the drug-dosage columns and harmonization may not be possible."
dosedigoxinbl,doseringdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,float,qualitative_variable,milligram,str,Transformation rule not defined
dosedigoxinbl,dosisfrequentiedigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,float,continuous_variable,,int,"For harmonization, no transformation required."
dosedigoxinbl,dagdosisdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,float,continuous_variable,,float,"For harmonization, no transformation required."
dosedigoxinbl,dosisdigoxine,1326303,1326303,rxnorm:3407,digoxin,rxnorm:3407,digoxin,drug_exposure,exact match,baseline time,baseline time,continuous_variable,milligram,float,continuous_variable,,float,"For harmonization, no transformation required."
bpsyststanding,bdsyst,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
rvra,bdsyst,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpsyst,bdsyst,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
rvramean,bdsyst,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,systolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
potassium,kaliummmoll,3005456,3005456,loinc:6298-4,potassium [moles/volume] in blood,loinc:6298-4,potassium [moles/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,millimole per liter,float,qualitative_variable,micromole per liter,str,Transformation rule not defined
vcimin,venacavainferiordiameter,3005557,3005557,loinc:18006-7,inferior vena cava diameter by us,loinc:18006-7,inferior vena cava diameter by us,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter,int,multi_class_variable,millimeter,str,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
vcimax,venacavainferiordiameter,3005557,3005557,loinc:18006-7,inferior vena cava diameter by us,loinc:18006-7,inferior vena cava diameter by us,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter,int,multi_class_variable,millimeter,str,"For harmonization, you may discretize continuous variables into categorical classes, but only when the resulting information loss is acceptable for the research question. Represent each clinical domain with two elements: 1Presence/absence flag:a binary indicator showing whether an event exists, 2) Event category: a categorical field specifying which event occurred (e.g., which condition, which procedure, which device etc)."
bpdiast,bddiast,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,diastolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
bpdiaststanding,bddiast,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,diastolic blood pressure,measurement,exact match,baseline time,baseline time,continuous_variable,millimeter mercury column,int,continuous_variable,millimeter mercury column,int,"For harmonization, no transformation required."
creatinine,creatineumoll,3016723,3016723,loinc:2160-0,creatinine [mass/volume] in serum or plasma,loinc:2160-0,creatinine [mass/volume] in serum or plasma,measurement,exact match,baseline time,baseline time,continuous_variable,microgram per deciliter,float,continuous_variable,micromole per liter,int,Unit conversion required (Research Question dependent)
weight,gewichtkg,3025315,3025315,loinc:29463-7,body weight,loinc:29463-7,body weight,measurement,exact match,baseline time,baseline time,continuous_variable,kilogram,int,continuous_variable,kilogram,int,"For harmonization, no transformation required."
nbnp,bnp,3029187,3029187,loinc:33762-6,natriuretic peptide.b prohormone n-terminal [mass/volume] in serum or plasma,loinc:33762-6,natriuretic peptide.b prohormone n-terminal [mass/volume] in serum or plasma,measurement,exact match,baseline time,baseline time,continuous_variable,picogram per milliliter,float,qualitative_variable,,str,Transformation rule not defined
height,lengtecm,3036277,3036277,loinc:8302-2,body height,loinc:8302-2,body height,measurement,exact match,baseline time,baseline time,continuous_variable,centimeter,int,continuous_variable,centimeter,int,"For harmonization, no transformation required."
bmi,bmi,3038553,3038553,loinc:39156-5,body mass index (bmi) [ratio],loinc:39156-5,body mass index (bmi) [ratio],measurement,exact match,baseline time,baseline time,continuous_variable,kilogram per square meter,float,continuous_variable,,int,"For harmonization, no transformation required."
paod,comorbiditeit_vaatlijden,3654996,3654996,snomed:840580004,peripheral arterial disease,snomed:840580004,peripheral arterial disease,condition_occurrence,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,str,"For harmonization, convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question"
paod01,comorbiditeit_vaatlijden,3654996,3654996,snomed:840580004,peripheral arterial disease,snomed:840580004,peripheral arterial disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
hyperchol,comorbiditeit_hypercholesterolemie,4029305,4029305,snomed:13644009,hypercholesterolemia,snomed:13644009,hypercholesterolemia,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
patientid,patiëntnummer,4086934,4086934,snomed:184107009,patient hospital number,snomed:184107009,patient hospital number,person,exact match,baseline time,baseline time,qualitative_variable,,str,continuous_variable,,int,Transformation rule not defined
valvhd,oorzaakhf_kleplijden,4281749,4281749,snomed:368009,heart valve disorder,snomed:368009,heart valve disorder,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
ant_mi,oorzaakhf_ischemischinfarct,4329847,4329847,snomed:22298006,myocardial infarction,snomed:22298006,myocardial infarction,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
hist_mi,oorzaakhf_ischemischinfarct,4329847,4329847,snomed:22298006,myocardial infarction,snomed:22298006,myocardial infarction,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
other_mi,oorzaakhf_ischemischinfarct,4329847,4329847,snomed:22298006,myocardial infarction,snomed:22298006,myocardial infarction,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,"For harmonization, no transformation required if categorical values are the same, otherwise transformation is needed on categorical values"
oak_bl,antistolling,21600961,21600961,atc:b01a,antithrombotic agents,atc:b01a,antithrombotic agents,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,multi_class_variable,,str,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
diuadjbl,dosisfrequentiediuretica,21601461,21601461,atc:c03,diuretics,atc:c03,diuretics,drug_exposure,exact match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,int,"For harmonization convert multi-class variables to binary classes, but accept only the degree of information loss justified by the research question. For drug-related variables, scrutinize the surrounding categorical context—e.g., therapy adjustments or supplemental medication descriptors—before deciding on the optimal harmonization, because these details may not map cleanly onto a binary split."
