source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,source_visit,target_visit,transformation_rule,source_type,source_unit,source_data_type,source_categories_labels,source_original_categories,target_type,target_unit,target_data_type,target_categories_labels,target_original_categories,mapping type,harmonization_status
hepatomegaly,epamega,197676,197676,snomed:80515008,large liver,snomed:80515008,large liver,observation,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 1<->2; yes: 0<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,yes; no,0; 1,binary_class_variable,,int,no; yes,2; 3,code match,Complete Match (Identical)
diabetes,prediab,201820,201820,snomed:73211009,diabetes mellitus,snomed:73211009,diabetes mellitus,condition_occurrence,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->2; yes: 1<->3"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,3; 2,code match,Complete Match (Identical)
afib_bl,flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,baseline time,baseline time,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->f; yes: 1<->t"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,str,yes; no,t; f,code match,Complete Match (Identical)
afib_12,f6_flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,follow-up 1 year,follow-up 1 year,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->0; yes: 1<->1"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,1; 0,code match,Complete Match (Identical)
afib_18,f7_flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,follow-up 18 months,follow-up 18 months,"{""description"": ""Categorical values are identical and aligned by standard labels."", ""categorical_mapping"": ""no: 0<->0; yes: 1<->1"", ""standard_labels"": ""no; yes""}",binary_class_variable,,int,no; yes,0; 1,binary_class_variable,,int,yes; no,1; 0,code match,Complete Match (Identical)
bundeltakblok_18,f7_bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,follow-up 18 months,follow-up 18 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,right bundle branch block and left posterior fascicular block; right bundle branch block; left anterior fascicular block; intraventricular conduction defect; right bundle branch block and left anterior fascicular block; left posterior fascicular block; left bundle branch block,5; 2; 3; 7; 6; 4; 1,binary_class_variable,,int,yes; no,1; 0,code match,Not Applicable
bundeltakblok_18,f7_latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,follow-up 18 months,follow-up 18 months,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,right bundle branch block and left posterior fascicular block; right bundle branch block; left anterior fascicular block; intraventricular conduction defect; right bundle branch block and left anterior fascicular block; left posterior fascicular block; left bundle branch block,5; 2; 3; 7; 6; 4; 1,binary_class_variable,,int,left; right,2; 3,code match,Not Applicable
bundeltakblok,bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,7; 2; 3; 1; 5; 6; 4,binary_class_variable,,str,no; yes,f; t,code match,Not Applicable
bundeltakblok,latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,baseline time,baseline time,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,7; 2; 3; 1; 5; 6; 4,binary_class_variable,,int,right; left,3; 2,code match,Not Applicable
bundeltakblok_12,f6_latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,follow-up 1 year,follow-up 1 year,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block; left bundle branch block,7; 2; 3; 5; 6; 4; 1,binary_class_variable,,int,right; left,3; 2,code match,Not Applicable
bundeltakblok_12,f6_bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,follow-up 1 year,follow-up 1 year,"{""description"": ""No specific transformation rule available.""}",multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block; left bundle branch block,7; 2; 3; 5; 6; 4; 1,binary_class_variable,,int,yes; no,1; 0,code match,Not Applicable
causeofheartfailure,descausc,316139,316139,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,baseline time,baseline time,"{""description"": ""Map structured categorical codes to consistent text labels; normalize values.""}",multi_class_variable,,int,dilated cardiomyopathy; disorder of coronary artery; other; heart valve disorder; hypertensive heart disease,2; 1; 5; 3; 4,qualitative_variable,,str,,,code match,Partial Match (Tentative)
causeofheartfailure,causc,316139,316139,snomed:84114007,heart failure,snomed:84114007,heart failure,observation,baseline time,baseline time,"{""description"": ""Original categorical values differ but overlap on standard labels."", ""categorical_mapping"": ""dilated cardiomyopathy: 2<->3; other: 5<->2"", ""unmapped_source_labels"": ""disorder of coronary artery; heart valve disorder; hypertensive heart disease"", ""unmapped_target_labels"": ""alcohol; cannot be determined; hypertension; hypertensive disorder; ischemic""}",multi_class_variable,,int,dilated cardiomyopathy; disorder of coronary artery; other; heart valve disorder; hypertensive heart disease,2; 1; 5; 3; 4,multi_class_variable,,int,dilated cardiomyopathy; cannot be determined; alcohol; hypertension; hypertensive disorder; other; ischemic; unknown,3; 7; 5; 4; 6; 2; 8,code match,Complete Match (Compatible)
