source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,source_categories,target_type,target_unit,target_data_type,target_categories,transformation_rule
syncope,hn_znsyn,135360.0,135360.0,snomed:271594007,syncope,snomed:271594007,syncope,observation,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
syncope,fn_znsyn,135360.0,135360.0,snomed:271594007,syncope,snomed:271594007,syncope,observation,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
syncope,bn_znsyn,135360.0,135360.0,snomed:271594007,syncope,snomed:271594007,syncope,observation,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
diabetes,br_dm,201820.0,201820.0,snomed:73211009,diabetes mellitus,snomed:73211009,diabetes mellitus,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""no; yes""}"
copd01,hn_copd,255573.0,255573.0,snomed:13645005,chronic obstructive lung disease,snomed:13645005,chronic obstructive lung disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
copd01,fn_copd,255573.0,255573.0,snomed:13645005,chronic obstructive lung disease,snomed:13645005,chronic obstructive lung disease,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
copd,hn_copd,255573.0,255573.0,snomed:13645005,chronic obstructive lung disease,snomed:13645005,chronic obstructive lung disease,condition_occurrence,exact match,baseline time,baseline time,multi_class_variable,,int,mild chronic obstructive pulmonary disease; moderate chronic obstructive pulmonary disease; severe chronic obstructive pulmonary disease; no,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""mild chronic obstructive pulmonary disease; moderate chronic obstructive pulmonary disease; severe chronic obstructive pulmonary disease; no"", ""target_categories"": ""yes; no""}"
copd,fn_copd,255573.0,255573.0,snomed:13645005,chronic obstructive lung disease,snomed:13645005,chronic obstructive lung disease,condition_occurrence,exact match,baseline time,baseline time,multi_class_variable,,int,mild chronic obstructive pulmonary disease; moderate chronic obstructive pulmonary disease; severe chronic obstructive pulmonary disease; no,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""mild chronic obstructive pulmonary disease; moderate chronic obstructive pulmonary disease; severe chronic obstructive pulmonary disease; no"", ""target_categories"": ""yes; no""}"
bundeltakblok,fe_rsf,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""yes; no""}"
bundeltakblok,ge_rsb,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""yes; no""}"
bundeltakblok,ie_lsb,313791.0,313791.0,snomed:6374002,bundle branch block,snomed:6374002,bundle branch block,measurement,exact match,baseline time,baseline time,multi_class_variable,,int,intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block,binary_class_variable,,int,no; yes,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""intraventricular conduction defect; right bundle branch block; left anterior fascicular block; left bundle branch block; right bundle branch block and left posterior fascicular block; right bundle branch block and left anterior fascicular block; left posterior fascicular block"", ""target_categories"": ""no; yes""}"
