Study Name,Study Type,Study Design,Study Objective,Population Location,Institute,Administrator,Administrator Email Address,Study Contact Person,Study Contact Person Email Address,Number of Participants,Start date,End date,Ongoing,Anonymisation/Pseudonymization technique,Frequency of data collection,Language,Dataset Format,Coding system,Interventions,Comparator,Mixed Sex,Morbidity,Race/Ethnicity,Age distribution,Enrolled with Diabetes,Enrolled with CVD (%),Sex inclusion criterion,Health status inclusion criterion,clinically relevant exposure inclusion criterion,age group inclusion criterion,BMI range inclusion criterion,ethnicity inclusion criterion,family status inclusion criterion,hospital patient inclusion criterion,use of medication inclusion criterion,health  status exclusion criterion,bmi range exclusion criterion,limited life expectancy exclusion criterion,need for surgery exclusion criterion,surgical procedure history,clinically relevant exposure exclusion criterion,primary outcome specification,secondary outcome specification,References,Part of Study,Number of Variables,Type of data collection
TIME-CHF,established chronic heart failure,randomized controlled trial,Comparative study with an intensified treatment strategy guided by NT-BNP levels against standard symptom-guided therapy in Chronic Heart Failure patients patients aged 60-74 years and those 75 years or older,"Switserland, Germany",Maastricht University Medical Centre, HP Brunner-La Rocca,hpblr@me.com  , Christof Peters ,christof.peters@mumc.nl ,622,1/1/2003,6/1/2008,no,,"Basline, month 1, 3, 6, 12, 18. Changes in medication daily. AE when they occur. Hard endpoints up to 5.5 years ",German;English,Microsoft access ported to excel/SPSS,Own coding system, intensified treatment strategy,standard guided therapy,Male=59.3%;Female= 40.7%,Heart failure,,76.9± (7.6) ,,100%,male and female,clinical signs or symptoms of  congestive heart failure (dyspnea NYHA class II or greater on current therapy),"A history of  congestive heart failure hospitalization within the last year;An NT-BNP level higher than twice the upper limit of normal. Specifically, this meant ≥400 pg/mL for patients aged 60 to 74 years and ≥800 pg/mL for patients aged ≥75 years",<= 84.5 and >= 69.3 years old,<35 kg/m²,,,,,Dyspnea not mainly caused by  congestive heart failure;Angina pectoris due to documented ischemia CCS class ≥I,≥35 kg/m²,Life expectancy under 3 years for diseases other than cardiovascular (primarily cancer),Valvular heart disease needing surgery,Percutaneous coronary intervention within the last month;Coronary artery bypass graft surgery within the last 3 months,Acute coronary syndrome within 10 days;Serum creatinine ≥220 μmol/L,Combined endpoint :18 months survival freeo fall-cause hospitalizations (all-cause death except cancer and hospitalization),"Quality of Life (QoL) at 18 months on therapy; Long-term mortality and morbidity (beyond 18 months);Different domains of QoL such as general health, daily activities, degree of mental distress;Patients’ end-of-life preferences;Tolerability of therapy/risk factors of intolerability Independence/disability after 18 months",https://pubmed.ncbi.nlm.nih.gov/16644310/,,1425,
AachenHF,established Heart failure,observational design,,,University RWTH Hospital Aachen,Katharina Marx-Schütt,,Marlo Verket,mverket@ukaachen.de,250,,,Yes,,depending on the patient visiting the outpatient clinic - around quarterly,,csv,Own coding system,,,male=76.8%;female=23.2%,,,64.5 ± 12.97 ,,,male and female,,,<= 77.5 and >= 51.5 years old,,,,,,,,,,,,cardiovascular mortality,"Length of time to non-cardiac death (Time to total mortality, Time to non-fatal heart attack, Time to non-fatal acute coronary syndrome,Time to survived sudden cardiac death, Time to non-fatal end stage renal failure, How long it takes to develop non-steroidal diabetes in patients with pre-diabetes, Time taken to develop non-steroidal diabetes in patients with normoglycemia, Time taken to develop non-steroidal pre-diabetes in patients with normoglycemia, Time taken to develop HFrEF in patients with Heart failure with mildly reduced ejection fraction (HFmrEF), Time taken to develop)",https://arxiv.org/abs/2403.10544,,98,
AVANTI,established Heart failure,randomized controlled trial,,,BAYER,,,Karen Paraschin,karen.paraschin@bayer.com,571,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe,longitudinal house hold-based cohort study on non-communicable diseases,observational design,"The study is designed  to quantify the burden and trends of non-communicable diseases (NCDs), including cardiovascular, metabolic, respiratory, and neoplastic diseases, and related risk factors across different geographical settings in Bangladesh and identify their demographic, societal, economic, and hereditary drivers.","Bangladesh, three settings:urban (Mirpur-Dhaka) |rural (Matlab-Chandpur) |urban-poor (slum; Bauniabadh-Dhaka)",Human Technopole Foundation,Gianmauro Cuccuru,gianmauro.cuccuru@fht.org ,Gianmauro Cuccuru,gianmauro.cuccuru@fht.org,73883,1/1/2016,1/3/2020,yes,"Baseline between 2016 and 2020, and follow-up with electronic questionnaire (each 18-24 months). Depending on questionnaire answers, houselhold visit by trained personnel to access non-fatal events. (Almost) all deaths are certified by doctors and followed by verbal autopsy (trained personnel assess causes of death from the symptoms described by family members)",English,"Phenotypes = csv, parquet; Genotypes = BGEN v1.2, PLINK2;  Proteomics = ADAT for SomaLogic, parquet and csv for Olink, MS RAW files for Seer; Methylation = FASTQ, BAM",Own coding system; ICD10 for diagnoses when available,None,,,Male=41% and Female=59%,Angina; Coronary heart disease; Cerebrovascular disease; Cardio-vascular disease; Diabetes type 2; Hearth failure; Hypertension; Myocardial Infarction; Respiratory system disease,,39 ± 15 (at baseline),"Diabetes type 2 (n=10578, 16%)","Stroke (n=1371, 2.1%); Myocardial infarction (n=1332, 2%)",male and female,,> 11 years old,,,,,,,,,,,,"To investigate multidimensional drivers of non-communicable diseases across different socio-economic settings (urban, rural, urban-poor)","Since the study includes a broad range of demographic, behavioral, socio-economic, physical and biological factors, multiple diseases and analyses (genomics, proteomics, metabolomics), there can be multiple secondary outcomes. Some examples: To inform public health action in a representative low-middle income country (Bangladesh); To investigate maternal and child health",,https://bmjopen.bmj.com/content/15/1/e088338,,,"73883 total participants; Phenotypes = 73883; Genotypes = 71942; Proteomics = 10000 for SomaLogic 7k, 3000 for SomaLogic 11k , 3300 for Olink, 400 for Seer; Methylation = 1000"
BIGFOOT,Cardiovascular diseases/Chronic kidney disease but no structural/functional heart disease,observational design,investigate the hemodynamic profile of haemodialysis patients,Belgium,IMEC,John Morales Tellez,John.MoralesTellez@imec.nl,John Morales Tellez,John.MoralesTellez@imec.nl,48,1/1/2015,1/4/2018,no,,One session,Dutch,Excel and csv,Own coding system,,,male=65%;female=35%,Chronic Kideny Disease on dialysis ,,71 ± 13,21,31,,chronic Kideny Disease on dialysis ,,<= 84 and >= 58 years old,,,,,,,,,,,,"bio-impedance will be evaluated in fluid status assessment (blood pressure, total body water, extracellular volume and intracellular volume). Bio-impedance will be measured by several devices and compared to fluid-related complaints from patients, physical examination, weight changes, echography of the vena cava inferior collapse and lung tissue, and haemoconcentration",intra-and interdialytic haemodynamic physiology of haemodialysis patients will be investigated;Volume- and pressure dynamics over the intra- and extracellular compartment are of interest,,,4,
BIOSTAT-CHF,established Heart failure,randomized controlled trial,To investigate biomarkers and clinical parameters in patients with heart failure (HF) and reduced ejection fraction (HFrEF). This study aimed to explore how these factors could influence prognosis and improve risk prediction in this patient population.to characterize biological pathways related to response/no-response to guideline-recommended pharmacological therapy for heart failure.,Multinational,University Medical Center Groningen,John Morales Tellez,John.MoralesTellez@imec.nl,Adriaan Voors,a.a.voors@umcg.nl,4256,12/1/2010,2015,no,,"Baseline,Month to reach uptritation (no samples),Month 9, then every 6M",English,sav,Own coding system,,,male=70%;female=30%,Heart failure,Caucasian; other,,,100%,,diagnosed with heart failure,a previous documented admission with heart failure requiring diuretic treatment;be treated with furosemide ≥20 mg/day or equivalent, >= 18 years old,,,,Both inpatient and oupatients,not previously treated or receiving ≤50% of target doses of ACE inhibitors/ARBs and/or beta-blockers according to the 2008 European Society of Cardiology guidelines + anticipation of uptitration,"known diagnosis of septicaemia;known diagnosis of acute myocarditis or hypertrophic obstructive, restrictive, or constrictive cardiomyopathy; heart transplant recipient or admitted for cardiac transplantation or left ventricular assist device surgery;current known inability to follow instructions or comply with follow-up procedures; treatment with medications or devices not approved in Europe;Patients with concomitant pulmonary disease, even if severe, valvular disease, acute coronary syndrome or stroke, could be included when the primary diagnosis for admission to hospital or outpatient clinic visit was heart failure, rather than the concomitant condition.",,,"anticipated need for surgery or any cardiovascular intervention, except implantable cardioverter defibrillator and/or cardiac resynchronization therapy, within 4 weeks",,"known diagnosis of septicaemia;known diagnosis of acute myocarditis or hypertrophic obstructive, restrictive, or constrictive cardiomyopathy; heart transplant recipient or admitted for cardiac transplantation or left ventricular assist device surgery;current known inability to follow instructions or comply with follow-up procedures; treatment with medications or devices not approved in Europe;Patients with concomitant pulmonary disease, even if severe, valvular disease, acute coronary syndrome or stroke, could be included when the primary diagnosis for admission to hospital or outpatient clinic visit was heart failure, rather than the concomitant condition.","The primary outcome of interest was time to a composite of all-cause death or unscheduled hospitalizations for heart failure. The hospitalizations because of heart failure were determined by the investigator, and were not adjudicated by a central adjudication committee.",,https://pubmed.ncbi.nlm.nih.gov/27126231/    ; https://research.rug.nl/en/publications/heart-failure-with-normal-lvef-in-biostat-chf,,,
CACHEXIA,established Heart failure,observational design,,,Queen's University Belfast,Dr Chris Watson,chris.watson@qub.ac.uk,Dr Chris Watson,chris.watson@qub.ac.uk,200,,,,,,,,,,,male=66%; female=34%,,,,,,,,,,,,,,,,,,,,,,,,,62,
Cardiateam,early risk,observational design,"Assess diabetic cardiomyopathy (DCM) relative to other forms of cardiomyopathy based on deep phenotyping (clinical, imaging and biological) information",5 european countries; 16 centres,INSERM,Prof. Geneviève Derumeaux,genevieve.derumeaux@inserm.fr,Geneviève Derumeaux; Mark Ibberson; Paul Balfanz,genevieve.derumeaux@inserm.fr; Mark.Ibberson@sib.swiss; pbalfanz@ukaachen.de,900,2020,-,yes,,baseline,english,csv,Own coding system,,,male=50%;female=50%,Heart failure with preserved ejection fraction ;Type 2 Diabetes Mellitus,mixed,61 ± 0.3,60%,,male and female,Heart failure with preserved ejection fraction;Type 2 Diabetes Mellitus,"Normal left ventricular ejection fraction (LVEF ≥ 50%); an absence of an akinetic segment evaluated by echocardiography and an absence of HF symptoms (e.g. shortness of breath, fatigue, increased jugular vein pressure, pulmonary cracking and peripheral edema); no history of myocardial ischemia; myocardial infarction; or percutaneous coronary intervention. The absence of a coronary artery disease was diagnosed with either an absence of coronary stenosis ≥ 50% or a Coronary Artery Calcium score (CAC) of below 100 on a cardiac CT scan or a coronary angiography with a normal Fractional Flow Reserve (FFR >0.80), 48 months prior to inclusion. ",<= 80 and >= 40 years old,,,,,,"Patients with diabetes mellitus other than type 2; Patients with an obstructive hypertrophic cardiomyopathy (HCM), significant valvular heart disease, chronic atrial fibrillation or significant arrhythmia at inclusion; Patients with an active COVID-19 infection or with a COVID-19 infection which led to hospitalization",,≤ 1 year,cardiac surgery,"cardiac surgery, bariatric surgery","severe chronic renal failure (i.e. eGFR <30 ml/min/1.73 m²), life-threatining comorbidities, pregnany",Clustering analysis,Develop predictive models based on the grouping from cluster analysis,https://clinicaltrials.gov/study/NCT04303364,,75,
CARD-ON- COL,established Heart failure,observational design,,,Queen's University Belfast,,,Dr Chris Watson,chris.watson@qub.ac.uk,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK-HF,established Heart failure,observational design,"adherence to drug therapy guidelines in heart failure (HF) with reduced left-ventricular ejection fraction (LVEF) of <40% (heart failure with reduced ejection fraction [HFrEF]), in which evidence-based treatment has been established.", 34 Dutch Heart failure outpatient clinics,Maastricht University Medical Centre, HP Brunner-La Rocca,hpblr@me.com  ,Christof Peters,christof.peters@mumc.nl,11332,2013,2016,no,,baseline,dutch;english,spss,Own coding system,,,"male=63.9%;female=36,1% ",Heart failure with reduced and midrange ejection fraction (HFrEF/HFmrEF),,72.3 ± 11.8,"Diabetes type 1 (n = 7,488)	271 (3.6) Diabetes type 2 (n = 7,488)	1,904 (25.4)",100%,male and female,Heart Failure with Reduced Ejection Fraction; Heart Failure with Mid-Range Ejection Fraction,"Diagnosis of heart failure was based on the most recent European guidelines for  heart failure management available at the time (i.e., 2012),",,,,,outpatient study,,Left bundle branch block; TIMI flux > 1; treatment with study drug in the last 10 days; contraindications or hypersensitivity to cyclosporin A; unfeasible PCI procedure; thrombolytic therapy before recruitment; previous myocardial infarction; previous coronary artery bypass graft; acute kidney or hepatic disease; malignant neoplasia: woman of childbearing age,,,,,,adherence to drug therapy guidelines,,https://www.jacc.org/doi/abs/10.1016/j.jchf.2018.10.010,,207,
