study_a,study_b,var_name_a,var_name_b,similarity_score
gissi-hf,time-chf,f11_anticoag,oak_v18,0.875
gissi-hf,time-chf,f11_anticoag,oak_v6,0.875
gissi-hf,time-chf,f11_anticoag,oak_v12,0.875
gissi-hf,time-chf,f11_anticoag,oak_bl,0.875
gissi-hf,time-chf,f11_anticoag,oak_v3,0.875
gissi-hf,time-chf,f11_anticoag,oak_v1,0.875
gissi-hf,time-chf,preiper,hypertensionyear,0.75
gissi-hf,time-chf,preiper,hypertension,1.0
gissi-hf,time-chf,f13_asa,aspirin_v12,0.875
gissi-hf,time-chf,f13_asa,aspirin_v3,0.875
gissi-hf,time-chf,f13_asa,aspirin_v6,0.875
gissi-hf,time-chf,f13_asa,aspirin_bl,0.875
gissi-hf,time-chf,f13_asa,aspirin_v18,0.875
gissi-hf,time-chf,f13_asa,aspirin_v1,0.875
gissi-hf,time-chf,f5_fc,frequentie,0.6666666666666667
gissi-hf,time-chf,f5_fc,hf,0.6666666666666667
gissi-hf,time-chf,f5_fc,frequentie_12,0.6666666666666667
gissi-hf,time-chf,f5_fc,hf_12,0.6666666666666667
gissi-hf,time-chf,f5_fc,hf_18,0.6666666666666667
gissi-hf,time-chf,f5_fc,frequentie_18,0.6666666666666667
gissi-hf,time-chf,f13_altdiu,diuadj12,0.625
gissi-hf,time-chf,f13_altdiu,diuadj6,0.625
gissi-hf,time-chf,f13_altdiu,diuadjbl,0.625
gissi-hf,time-chf,f13_altdiu,diuadj3,0.625
gissi-hf,time-chf,f13_altdiu,diuadj1,0.625
gissi-hf,time-chf,f7_altrobb,bb_at_v3,0.625
gissi-hf,time-chf,f7_altrobb,bbadjbl,0.625
gissi-hf,time-chf,f7_altrobb,v1bb,0.625
gissi-hf,time-chf,f7_altrobb,v6bb,0.625
gissi-hf,time-chf,f7_altrobb,bbadj1,0.625
gissi-hf,time-chf,f7_altrobb,bb_at_v12,0.625
gissi-hf,time-chf,f7_altrobb,bbadj12,0.625
gissi-hf,time-chf,f7_altrobb,dosebbv1,0.625
gissi-hf,time-chf,f7_altrobb,bb_at_bl,0.625
gissi-hf,time-chf,f7_altrobb,blbb,0.625
gissi-hf,time-chf,f7_altrobb,v3bb,0.625
gissi-hf,time-chf,f7_altrobb,v18bb,0.75
gissi-hf,time-chf,f7_altrobb,bbadj3,0.625
gissi-hf,time-chf,f7_altrobb,dosebbv18,0.75
gissi-hf,time-chf,f7_altrobb,bb_at_v18,0.75
gissi-hf,time-chf,f7_altrobb,dosebbbl,0.625
gissi-hf,time-chf,f7_altrobb,dosebbv3,0.625
gissi-hf,time-chf,f7_altrobb,bbadj6,0.625
gissi-hf,time-chf,f7_altrobb,dosebbv12,0.625
gissi-hf,time-chf,f7_altrobb,bb_at_v6,0.625
gissi-hf,time-chf,f7_altrobb,v12bb,0.625
gissi-hf,time-chf,f7_altrobb,bb_at_v1,0.625
gissi-hf,time-chf,f7_altrobb,dosebbv6,0.625
gissi-hf,time-chf,f8_alt,alt,0.7777777777777778
gissi-hf,time-chf,f6_antidepr,antidepress,0.875
gissi-hf,time-chf,f4_urice,uric_acid_bl,0.888888888888889
gissi-hf,time-chf,f4_urice,uric_acid_v1,0.888888888888889
gissi-hf,time-chf,f4_urice,uric_acid_v6,0.888888888888889
gissi-hf,time-chf,f4_urice,uric_acid_v18,0.888888888888889
gissi-hf,time-chf,f4_urice,uric_acid_v12,0.888888888888889
gissi-hf,time-chf,f4_urice,uric_acid_v3,1.0
gissi-hf,time-chf,f7_emoglob,hb18,1.0
gissi-hf,time-chf,f7_emoglob,hb,0.888888888888889
gissi-hf,time-chf,f7_emoglob,hb12,0.888888888888889
gissi-hf,time-chf,f7_emoglob,hb6,0.888888888888889
gissi-hf,time-chf,f7_spirono,dosespirov1,0.625
gissi-hf,time-chf,f7_spirono,dosespirov3,0.625
gissi-hf,time-chf,f7_spirono,dosespirobl,0.625
gissi-hf,time-chf,f7_spirono,spiroadjbl,0.625
gissi-hf,time-chf,f7_spirono,spiroadj3,0.625
gissi-hf,time-chf,f7_spirono,dosespirov18,0.75
gissi-hf,time-chf,f7_spirono,spiroadj1,0.625
gissi-hf,time-chf,f7_spirono,spiroadj6,0.625
gissi-hf,time-chf,f7_spirono,spiroadj12,0.625
gissi-hf,time-chf,f7_spirono,dosespirov6,0.625
gissi-hf,time-chf,f7_spirono,dosespirov12,0.625
gissi-hf,time-chf,pvc,jugularvein,0.75
gissi-hf,time-chf,pvc,jv18,0.625
gissi-hf,time-chf,pvc,jugularvein_01,0.75
gissi-hf,time-chf,pvc,jv1,0.625
gissi-hf,time-chf,pvc,jv6,0.625
gissi-hf,time-chf,pvc,jv3_01,0.625
gissi-hf,time-chf,pvc,jv12,0.625
gissi-hf,time-chf,pvc,jv3,0.625
gissi-hf,time-chf,pvc,jv1_01,0.625
gissi-hf,time-chf,pvc,jv6_01,0.625
gissi-hf,time-chf,f5_nitrati,nitratadj6,0.75
gissi-hf,time-chf,f5_nitrati,v6nitrat,0.75
gissi-hf,time-chf,f5_nitrati,nitratadj12,0.625
gissi-hf,time-chf,f5_nitrati,nitratadjbl,0.625
gissi-hf,time-chf,f5_nitrati,v1nitrat,0.625
gissi-hf,time-chf,f5_nitrati,nitratadj3,0.625
gissi-hf,time-chf,f5_nitrati,nitratadj1,0.625
gissi-hf,time-chf,f5_nitrati,v12nitrat,0.625
gissi-hf,time-chf,f5_nitrati,v3nitrat,0.625
gissi-hf,time-chf,f5_nitrati,v18nitrat,0.625
gissi-hf,time-chf,f5_nitrati,blnitrat,0.625
gissi-hf,time-chf,f7_fc,frequentie,0.6666666666666667
gissi-hf,time-chf,f7_fc,hf,0.6666666666666667
gissi-hf,time-chf,f7_fc,frequentie_12,0.6666666666666667
gissi-hf,time-chf,f7_fc,hf_12,0.6666666666666667
gissi-hf,time-chf,f7_fc,hf_18,0.7777777777777778
gissi-hf,time-chf,f7_fc,frequentie_18,0.7777777777777778
gissi-hf,time-chf,f3_dfurosem,v3furo,0.625
gissi-hf,time-chf,f3_dfurosem,dosefurov12,0.888888888888889
gissi-hf,time-chf,f3_dfurosem,v12furo,0.625
gissi-hf,time-chf,f3_dfurosem,dosefurov3,0.888888888888889
gissi-hf,time-chf,f3_dfurosem,v1furo,0.75
gissi-hf,time-chf,f3_dfurosem,blfuro,0.625
gissi-hf,time-chf,f3_dfurosem,dosefurov6,0.888888888888889
gissi-hf,time-chf,f3_dfurosem,v18furo,0.625
gissi-hf,time-chf,f3_dfurosem,dosefurobl,0.888888888888889
gissi-hf,time-chf,f3_dfurosem,dosefurov18,0.888888888888889
gissi-hf,time-chf,f3_dfurosem,dosefurov1,1.0
gissi-hf,time-chf,f3_dfurosem,v6furo,0.625
gissi-hf,time-chf,f11_bbranca,bundeltakblok,0.625
gissi-hf,time-chf,f11_bbranca,bundeltakblok_18,0.625
gissi-hf,time-chf,f11_bbranca,bundeltakblok_12,0.625
gissi-hf,time-chf,f9_edemperi,edema18,0.875
gissi-hf,time-chf,f9_edemperi,edemahist18,0.625
gissi-hf,time-chf,f9_edemperi,edema6,0.875
gissi-hf,time-chf,f9_edemperi,edema1,0.875
gissi-hf,time-chf,f9_edemperi,edemahist12,0.625
gissi-hf,time-chf,f9_edemperi,edemahist3,0.625
